,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Narsaq,GL,1589910035,60.92,-46.05,55.4,19,20,11.41
1,Ushuaia,AR,1589910035,-54.8,-68.3,42.8,81,75,26.4
2,Rocha,UY,1589909945,-34.48,-54.33,72.61,63,3,8.63
3,Atuona,PF,1589910035,-9.8,-139.03,80.91,75,1,15.37
4,Rome,US,1589909883,43.21,-75.46,68.0,32,1,16.11
5,Bengkulu,ID,1589910036,-3.8,102.27,78.89,86,73,2.95
6,Castro,BR,1589909956,-24.79,-50.01,72.59,51,0,6.87
7,Norman Wells,CA,1589910036,65.28,-126.83,35.6,55,75,6.93
8,Waitati,NZ,1589910036,-45.75,170.57,43.0,91,14,2.75
9,Saskylakh,RU,1589910036,71.92,114.08,33.84,95,100,6.26
10,Bluff,NZ,1589910037,-46.6,168.33,41.56,87,75,12.15
11,Byron Bay,AU,1589910037,-28.65,153.62,59.0,100,75,4.7
12,Waipawa,NZ,1589910037,-41.41,175.52,41.0,93,0,5.82
13,Cape Town,ZA,1589909768,-33.93,18.42,62.01,87,0,6.93
14,Korla,CN,1589910037,41.76,86.15,74.93,33,100,19.86
15,Rikitea,PF,1589910037,-23.12,-134.97,78.33,86,69,21.72
16,Barrow,US,1589909942,71.29,-156.79,24.8,85,90,16.11
17,Punta Arenas,CL,1589910037,-53.15,-70.92,42.8,75,20,18.34
18,Stokmarknes,NO,1589910037,68.56,14.91,44.01,74,51,4.0
19,Cabo San Lucas,MX,1589909802,22.89,-109.91,84.0,39,5,6.93
20,Carnarvon,AU,1589910038,-24.87,113.63,68.68,39,0,22.12
21,Gornopravdinsk,RU,1589910038,60.05,69.9,61.47,90,99,8.46
22,Kabinda,CD,1589910038,-6.13,24.48,72.88,69,0,4.41
23,Ribeira Grande,PT,1589910038,38.52,-28.7,62.6,72,75,9.17
24,Los Llanos de Aridane,ES,1589910038,28.66,-17.92,71.6,68,20,17.22
25,Quatre Cocos,MU,1589910038,-20.21,57.76,73.4,60,75,9.17
26,Poya,NC,1589910038,-21.35,165.15,64.56,78,28,4.63
27,Albany,US,1589910038,42.6,-73.97,71.01,31,100,9.53
28,Ayan,RU,1589910038,56.45,138.17,34.7,94,100,2.24
